#Date: 2023-12-20 06:05:08
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-12-20 06:05:47 ::1 GET /Shell/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 304 150
2023-12-20 06:05:47 ::1 GET /Shell/983.8d2ed4264ff3a85d.js - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 201
2023-12-20 06:05:48 ::1 POST /api/ShellSession/StartSession - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 302 73
2023-12-20 06:05:48 ::1 GET /Login/Login.html ReturnUrl=%2Fapi%2FShellSession%2FStartSession 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 50
2023-12-20 06:05:48 ::1 GET /Login/Login.html ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 5
2023-12-20 06:05:48 ::1 GET /core/hash/Terrasoft/amd/bootstrap-loader.js - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 304 1
2023-12-20 06:05:49 ::1 GET /ServiceModel/ClientScriptService.svc/GenerateLoginScripts v=1703052348839 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 200 163
2023-12-20 06:05:49 ::1 GET /core/hash/combined/all-combined.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 200 29
2023-12-20 06:05:49 ::1 GET /core/hash/normalize/classList-shim.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 304 1
2023-12-20 06:05:49 ::1 GET /core/hash/Terrasoft/amd/bootstrap.login.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 304 1
2023-12-20 06:05:49 ::1 GET /core/hash/requirejs/less-loader.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2F%23Section%2FUsrRealtyFreedomUI_ListPage 304 1
